Question,Answer
এইচএসসি তে হায়ার ম্যাথ অপশনাল ছিল— সিএসই তে ভর্তি হতে প্রব্লেম হবে,কোন প্রবলেম হবে না
আইএলটস স্কোর এটির বেনিফিট,আইএলটস স্কোর ৭ কিংবা ততোধিক থাকলে ইংলিশ কোর্স এর উপরে বৃত্তি পাওয়া যায়
আইএলটস স্কোর -এর বেনিফিট,আইএলটস স্কোর ৭ কিংবা ততোধিক থাকলে ইংলিশ কোর্স এর উপরে বৃত্তি পাওয়া যায়
আইএলটস স্কোর এটার বেনিফিট,আইএলটস স্কোর ৭ কিংবা ততোধিক থাকলে ইংলিশ কোর্স এর উপরে বৃত্তি পাওয়া যায়
আইএলটস স্কোর এগুলোর বেনিফিট,আইএলটস স্কোর ৭ কিংবা ততোধিক থাকলে ইংলিশ কোর্স এর উপরে বৃত্তি পাওয়া যায়
আইএলটস স্কোর যার বেনিফিট,আইএলটস স্কোর ৭ কিংবা ততোধিক থাকলে ইংলিশ কোর্স এর উপরে বৃত্তি পাওয়া যায়
কি কি কাগজ জমা দিতে হবে ভরতি হতে,"এসএসসি ও এইচএসসির সত্যায়িত সার্টিফিকেট, টেস্টিমোনিয়াল, 
মার্কশীট অথবা ট্রান্সক্রিপ্ট, জাতীয় পরিচয় পত্র অথবা জন্ম নিবন্ধন পত্র 
অথবা পাসপোর্টের কপি, বাবা এবং মা উভয়ের জাতীয় পরিচয় পত্র, দুই 
কপি পাসপোর্ট সাইজ ছবি এবং এক কপি স্ট্যাম্প সাইজ ছবি"
কি কি কাগজ জমা দিতে হবে ভর্ত্তি হতে,"এসএসসি ও এইচএসসির সত্যায়িত সার্টিফিকেট, টেস্টিমোনিয়াল, 
মার্কশীট অথবা ট্রান্সক্রিপ্ট, জাতীয় পরিচয় পত্র অথবা জন্ম নিবন্ধন পত্র 
অথবা পাসপোর্টের কপি, বাবা এবং মা উভয়ের জাতীয় পরিচয় পত্র, দুই 
কপি পাসপোর্ট সাইজ ছবি এবং এক কপি স্ট্যাম্প সাইজ ছবি"
কি কি কাগজ জমা দিতে হবে উত্তীর্ণ হতে,"এসএসসি ও এইচএসসির সত্যায়িত সার্টিফিকেট, টেস্টিমোনিয়াল, 
মার্কশীট অথবা ট্রান্সক্রিপ্ট, জাতীয় পরিচয় পত্র অথবা জন্ম নিবন্ধন পত্র 
অথবা পাসপোর্টের কপি, বাবা এবং মা উভয়ের জাতীয় পরিচয় পত্র, দুই 
কপি পাসপোর্ট সাইজ ছবি এবং এক কপি স্ট্যাম্প সাইজ ছবি"
কি কি কাগজ জমা দিতে হবে ভর্তিও হতে,"এসএসসি ও এইচএসসির সত্যায়িত সার্টিফিকেট, টেস্টিমোনিয়াল, 
মার্কশীট অথবা ট্রান্সক্রিপ্ট, জাতীয় পরিচয় পত্র অথবা জন্ম নিবন্ধন পত্র 
অথবা পাসপোর্টের কপি, বাবা এবং মা উভয়ের জাতীয় পরিচয় পত্র, দুই 
কপি পাসপোর্ট সাইজ ছবি এবং এক কপি স্ট্যাম্প সাইজ ছবি"
কি কি কাগজ সঞ্চিত দিতে হবে ভর্তি হতে,"এসএসসি ও এইচএসসির সত্যায়িত সার্টিফিকেট, টেস্টিমোনিয়াল, 
মার্কশীট অথবা ট্রান্সক্রিপ্ট, জাতীয় পরিচয় পত্র অথবা জন্ম নিবন্ধন পত্র 
অথবা পাসপোর্টের কপি, বাবা এবং মা উভয়ের জাতীয় পরিচয় পত্র, দুই 
কপি পাসপোর্ট সাইজ ছবি এবং এক কপি স্ট্যাম্প সাইজ ছবি"
কি কি কাগজ উগরে দিতে হবে ভর্তি হতে,"এসএসসি ও এইচএসসির সত্যায়িত সার্টিফিকেট, টেস্টিমোনিয়াল, 
মার্কশীট অথবা ট্রান্সক্রিপ্ট, জাতীয় পরিচয় পত্র অথবা জন্ম নিবন্ধন পত্র 
অথবা পাসপোর্টের কপি, বাবা এবং মা উভয়ের জাতীয় পরিচয় পত্র, দুই 
কপি পাসপোর্ট সাইজ ছবি এবং এক কপি স্ট্যাম্প সাইজ ছবি"
কি কি কাগজ গচ্ছিত দিতে হবে ভর্তি হতে,"এসএসসি ও এইচএসসির সত্যায়িত সার্টিফিকেট, টেস্টিমোনিয়াল, 
মার্কশীট অথবা ট্রান্সক্রিপ্ট, জাতীয় পরিচয় পত্র অথবা জন্ম নিবন্ধন পত্র 
অথবা পাসপোর্টের কপি, বাবা এবং মা উভয়ের জাতীয় পরিচয় পত্র, দুই 
কপি পাসপোর্ট সাইজ ছবি এবং এক কপি স্ট্যাম্প সাইজ ছবি"
কি কি কাগজের জমা দিতে হবে ভর্তি হতে,"এসএসসি ও এইচএসসির সত্যায়িত সার্টিফিকেট, টেস্টিমোনিয়াল, 
মার্কশীট অথবা ট্রান্সক্রিপ্ট, জাতীয় পরিচয় পত্র অথবা জন্ম নিবন্ধন পত্র 
অথবা পাসপোর্টের কপি, বাবা এবং মা উভয়ের জাতীয় পরিচয় পত্র, দুই 
কপি পাসপোর্ট সাইজ ছবি এবং এক কপি স্ট্যাম্প সাইজ ছবি"
কি কি কালি জমা দিতে হবে ভর্তি হতে,"এসএসসি ও এইচএসসির সত্যায়িত সার্টিফিকেট, টেস্টিমোনিয়াল, 
মার্কশীট অথবা ট্রান্সক্রিপ্ট, জাতীয় পরিচয় পত্র অথবা জন্ম নিবন্ধন পত্র 
অথবা পাসপোর্টের কপি, বাবা এবং মা উভয়ের জাতীয় পরিচয় পত্র, দুই 
কপি পাসপোর্ট সাইজ ছবি এবং এক কপি স্ট্যাম্প সাইজ ছবি"
কি কি কলম জমা দিতে হবে ভর্তি হতে,"এসএসসি ও এইচএসসির সত্যায়িত সার্টিফিকেট, টেস্টিমোনিয়াল, 
মার্কশীট অথবা ট্রান্সক্রিপ্ট, জাতীয় পরিচয় পত্র অথবা জন্ম নিবন্ধন পত্র 
অথবা পাসপোর্টের কপি, বাবা এবং মা উভয়ের জাতীয় পরিচয় পত্র, দুই 
কপি পাসপোর্ট সাইজ ছবি এবং এক কপি স্ট্যাম্প সাইজ ছবি"
কি কি কাগজ জমা দিতে হয় ভর্তি হতে,"এসএসসি ও এইচএসসির সত্যায়িত সার্টিফিকেট, টেস্টিমোনিয়াল, 
মার্কশীট অথবা ট্রান্সক্রিপ্ট, জাতীয় পরিচয় পত্র অথবা জন্ম নিবন্ধন পত্র 
অথবা পাসপোর্টের কপি, বাবা এবং মা উভয়ের জাতীয় পরিচয় পত্র, দুই 
কপি পাসপোর্ট সাইজ ছবি এবং এক কপি স্ট্যাম্প সাইজ ছবি"
কি কি কাগজ জমা দিতে পারে ভর্তি হতে,"এসএসসি ও এইচএসসির সত্যায়িত সার্টিফিকেট, টেস্টিমোনিয়াল, 
মার্কশীট অথবা ট্রান্সক্রিপ্ট, জাতীয় পরিচয় পত্র অথবা জন্ম নিবন্ধন পত্র 
অথবা পাসপোর্টের কপি, বাবা এবং মা উভয়ের জাতীয় পরিচয় পত্র, দুই 
কপি পাসপোর্ট সাইজ ছবি এবং এক কপি স্ট্যাম্প সাইজ ছবি"
কি কি কাগজ জমা দিতে হত ভর্তি হতে,"এসএসসি ও এইচএসসির সত্যায়িত সার্টিফিকেট, টেস্টিমোনিয়াল, 
মার্কশীট অথবা ট্রান্সক্রিপ্ট, জাতীয় পরিচয় পত্র অথবা জন্ম নিবন্ধন পত্র 
অথবা পাসপোর্টের কপি, বাবা এবং মা উভয়ের জাতীয় পরিচয় পত্র, দুই 
কপি পাসপোর্ট সাইজ ছবি এবং এক কপি স্ট্যাম্প সাইজ ছবি"
কি কি কাগজ জমা দিতে হয়েছে ভর্তি হতে,"এসএসসি ও এইচএসসির সত্যায়িত সার্টিফিকেট, টেস্টিমোনিয়াল, 
মার্কশীট অথবা ট্রান্সক্রিপ্ট, জাতীয় পরিচয় পত্র অথবা জন্ম নিবন্ধন পত্র 
অথবা পাসপোর্টের কপি, বাবা এবং মা উভয়ের জাতীয় পরিচয় পত্র, দুই 
কপি পাসপোর্ট সাইজ ছবি এবং এক কপি স্ট্যাম্প সাইজ ছবি"
কি কি কাগজ জমা দিতে হয়েছিল ভর্তি হতে,"এসএসসি ও এইচএসসির সত্যায়িত সার্টিফিকেট, টেস্টিমোনিয়াল, 
মার্কশীট অথবা ট্রান্সক্রিপ্ট, জাতীয় পরিচয় পত্র অথবা জন্ম নিবন্ধন পত্র 
অথবা পাসপোর্টের কপি, বাবা এবং মা উভয়ের জাতীয় পরিচয় পত্র, দুই 
কপি পাসপোর্ট সাইজ ছবি এবং এক কপি স্ট্যাম্প সাইজ ছবি"
কাগজপত্র জমা দেওয়ার সময় কী সত্যায়িত করা লাগবে,জী না সত্যায়িত করা লাগবে না
কাগজপত্র জমা দেওয়ার সময় ? সত্যায়িত করা লাগবে,জী না সত্যায়িত করা লাগবে না
কাগজপত্র জমা দেওয়ার সময় ... সত্যায়িত করা লাগবে,জী না সত্যায়িত করা লাগবে না
কাগজপত্র জমা দেওয়ার সময় কোথায় সত্যায়িত করা লাগবে,জী না সত্যায়িত করা লাগবে না
কাগজপত্র জমা দেওয়ার সময় কেমন সত্যায়িত করা লাগবে,জী না সত্যায়িত করা লাগবে না
কাগজপত্র ফাঁস দেওয়ার সময় কি সত্যায়িত করা লাগবে,জী না সত্যায়িত করা লাগবে না
কাগজপত্র সঞ্চিত দেওয়ার সময় কি সত্যায়িত করা লাগবে,জী না সত্যায়িত করা লাগবে না
কাগজপত্র উগরে দেওয়ার সময় কি সত্যায়িত করা লাগবে,জী না সত্যায়িত করা লাগবে না
কাগজপত্র গচ্ছিত দেওয়ার সময় কি সত্যায়িত করা লাগবে,জী না সত্যায়িত করা লাগবে না
"তোমার এইচ.এস.সি তে গোল্ডেন জিপিয়ে ৫, কি কি সুবিধা পাব",এইচএসসিতে গোল্ডেন জিপিএ ফাইভ থাকলে ভর্তি হওয়ার জন্য এডমিশন টেস্ট দিতে হবে না এবং ক্রেডিট এর উপর স্কলারশিপ পাবেন
"আপনার এইচ.এস.সি তে গোল্ডেন জিপিয়ে ৫, কি কি সুবিধা পাব",এইচএসসিতে গোল্ডেন জিপিএ ফাইভ থাকলে ভর্তি হওয়ার জন্য এডমিশন টেস্ট দিতে হবে না এবং ক্রেডিট এর উপর স্কলারশিপ পাবেন
"আমাদের এইচ.এস.সি তে গোল্ডেন জিপিয়ে ৫, কি কি সুবিধা পাব",এইচএসসিতে গোল্ডেন জিপিএ ফাইভ থাকলে ভর্তি হওয়ার জন্য এডমিশন টেস্ট দিতে হবে না এবং ক্রেডিট এর উপর স্কলারশিপ পাবেন
"তোমাদের এইচ.এস.সি তে গোল্ডেন জিপিয়ে ৫, কি কি সুবিধা পাব",এইচএসসিতে গোল্ডেন জিপিএ ফাইভ থাকলে ভর্তি হওয়ার জন্য এডমিশন টেস্ট দিতে হবে না এবং ক্রেডিট এর উপর স্কলারশিপ পাবেন
"আমি এইচ.এস.সি তে গোল্ডেন জিপিয়ে ৫, কি কি সুবিধা পাব",এইচএসসিতে গোল্ডেন জিপিএ ফাইভ থাকলে ভর্তি হওয়ার জন্য এডমিশন টেস্ট দিতে হবে না এবং ক্রেডিট এর উপর স্কলারশিপ পাবেন
"আমার এফ.এস.সি তে গোল্ডেন জিপিয়ে ৫, কি কি সুবিধা পাব",এইচএসসিতে গোল্ডেন জিপিএ ফাইভ থাকলে ভর্তি হওয়ার জন্য এডমিশন টেস্ট দিতে হবে না এবং ক্রেডিট এর উপর স্কলারশিপ পাবেন
"আমার পি.এস.সি তে গোল্ডেন জিপিয়ে ৫, কি কি সুবিধা পাব",এইচএসসিতে গোল্ডেন জিপিএ ফাইভ থাকলে ভর্তি হওয়ার জন্য এডমিশন টেস্ট দিতে হবে না এবং ক্রেডিট এর উপর স্কলারশিপ পাবেন
"আমার এস.এস.সি তে গোল্ডেন জিপিয়ে ৫, কি কি সুবিধা পাব",এইচএসসিতে গোল্ডেন জিপিএ ফাইভ থাকলে ভর্তি হওয়ার জন্য এডমিশন টেস্ট দিতে হবে না এবং ক্রেডিট এর উপর স্কলারশিপ পাবেন
"আমার ডাব্লিউ.এস.সি তে গোল্ডেন জিপিয়ে ৫, কি কি সুবিধা পাব",এইচএসসিতে গোল্ডেন জিপিএ ফাইভ থাকলে ভর্তি হওয়ার জন্য এডমিশন টেস্ট দিতে হবে না এবং ক্রেডিট এর উপর স্কলারশিপ পাবেন
"আমার বি.এস.সি তে গোল্ডেন জিপিয়ে ৫, কি কি সুবিধা পাব",এইচএসসিতে গোল্ডেন জিপিএ ফাইভ থাকলে ভর্তি হওয়ার জন্য এডমিশন টেস্ট দিতে হবে না এবং ক্রেডিট এর উপর স্কলারশিপ পাবেন
"আমার এইচ.পি.সি তে গোল্ডেন জিপিয়ে ৫, কি কি সুবিধা পাব",এইচএসসিতে গোল্ডেন জিপিএ ফাইভ থাকলে ভর্তি হওয়ার জন্য এডমিশন টেস্ট দিতে হবে না এবং ক্রেডিট এর উপর স্কলারশিপ পাবেন
"আমার এইচ.এফ.সি তে গোল্ডেন জিপিয়ে ৫, কি কি সুবিধা পাব",এইচএসসিতে গোল্ডেন জিপিএ ফাইভ থাকলে ভর্তি হওয়ার জন্য এডমিশন টেস্ট দিতে হবে না এবং ক্রেডিট এর উপর স্কলারশিপ পাবেন
"আমার এইচ.এম.সি তে গোল্ডেন জিপিয়ে ৫, কি কি সুবিধা পাব",এইচএসসিতে গোল্ডেন জিপিএ ফাইভ থাকলে ভর্তি হওয়ার জন্য এডমিশন টেস্ট দিতে হবে না এবং ক্রেডিট এর উপর স্কলারশিপ পাবেন
"আমার এইচ.এন.সি তে গোল্ডেন জিপিয়ে ৫, কি কি সুবিধা পাব",এইচএসসিতে গোল্ডেন জিপিএ ফাইভ থাকলে ভর্তি হওয়ার জন্য এডমিশন টেস্ট দিতে হবে না এবং ক্রেডিট এর উপর স্কলারশিপ পাবেন
"আমার এইচ.বি.সি তে গোল্ডেন জিপিয়ে ৫, কি কি সুবিধা পাব",এইচএসসিতে গোল্ডেন জিপিএ ফাইভ থাকলে ভর্তি হওয়ার জন্য এডমিশন টেস্ট দিতে হবে না এবং ক্রেডিট এর উপর স্কলারশিপ পাবেন
"আমার এইচ.এস.সি য় গোল্ডেন জিপিয়ে ৫, কি কি সুবিধা পাব",এইচএসসিতে গোল্ডেন জিপিএ ফাইভ থাকলে ভর্তি হওয়ার জন্য এডমিশন টেস্ট দিতে হবে না এবং ক্রেডিট এর উপর স্কলারশিপ পাবেন
"আমার এইচ.এস.সি -তে গোল্ডেন জিপিয়ে ৫, কি কি সুবিধা পাব",এইচএসসিতে গোল্ডেন জিপিএ ফাইভ থাকলে ভর্তি হওয়ার জন্য এডমিশন টেস্ট দিতে হবে না এবং ক্রেডিট এর উপর স্কলারশিপ পাবেন
"আমার এইচ.এস.সি তেও গোল্ডেন জিপিয়ে ৫, কি কি সুবিধা পাব",এইচএসসিতে গোল্ডেন জিপিএ ফাইভ থাকলে ভর্তি হওয়ার জন্য এডমিশন টেস্ট দিতে হবে না এবং ক্রেডিট এর উপর স্কলারশিপ পাবেন
"আমার এইচ.এস.সি -এ গোল্ডেন জিপিয়ে ৫, কি কি সুবিধা পাব",এইচএসসিতে গোল্ডেন জিপিএ ফাইভ থাকলে ভর্তি হওয়ার জন্য এডমিশন টেস্ট দিতে হবে না এবং ক্রেডিট এর উপর স্কলারশিপ পাবেন
"আমার এইচ.এস.সি য়ে গোল্ডেন জিপিয়ে ৫, কি কি সুবিধা পাব",এইচএসসিতে গোল্ডেন জিপিএ ফাইভ থাকলে ভর্তি হওয়ার জন্য এডমিশন টেস্ট দিতে হবে না এবং ক্রেডিট এর উপর স্কলারশিপ পাবেন
ট্রান্সপোর্ট সুবিধাদি আছে,জি আমাদের ট্রান্সপোর্ট সুবিধা আছে
ট্রান্সপোর্ট সুযোগসুবিধা আছে,জি আমাদের ট্রান্সপোর্ট সুবিধা আছে
ট্রান্সপোর্ট সুবিধাও আছে,জি আমাদের ট্রান্সপোর্ট সুবিধা আছে
ট্রান্সপোর্ট সুযোগ-সুবিধা আছে,জি আমাদের ট্রান্সপোর্ট সুবিধা আছে
ট্রান্সপোর্ট সুবিধাগুলি আছে,জি আমাদের ট্রান্সপোর্ট সুবিধা আছে
ট্রান্সপোর্ট সুবিধা রয়েছে,জি আমাদের ট্রান্সপোর্ট সুবিধা আছে
ট্রান্সপোর্ট সুবিধা রয়েছে৷,জি আমাদের ট্রান্সপোর্ট সুবিধা আছে
ট্রান্সপোর্ট সুবিধা থাকবে,জি আমাদের ট্রান্সপোর্ট সুবিধা আছে
ট্রান্সপোর্ট সুবিধা আছে৷,জি আমাদের ট্রান্সপোর্ট সুবিধা আছে
কীভাবে ক্রেডিট ট্রান্সফার করবো,ইউআইইউ তে ক্রেডিট ট্রান্সফার করার জন্য যথাযথ ডিপার্টমেন্ট এর সাথে যোগাযোগ করে অ্যাডমিশন ফি জমা দিতে হবে। এর জন্য কোন এডমিশন টেস্ট নেই। ইউআইইউ থেকে ডিগ্রী পাওয়ার জন্য মিনিমাম ৫০% ক্রেডিট কমপ্লিট করা লাগবে
যেভাবে ক্রেডিট ট্রান্সফার করবো,ইউআইইউ তে ক্রেডিট ট্রান্সফার করার জন্য যথাযথ ডিপার্টমেন্ট এর সাথে যোগাযোগ করে অ্যাডমিশন ফি জমা দিতে হবে। এর জন্য কোন এডমিশন টেস্ট নেই। ইউআইইউ থেকে ডিগ্রী পাওয়ার জন্য মিনিমাম ৫০% ক্রেডিট কমপ্লিট করা লাগবে
